TEXT,MANUAL LABEL,AUTO LABEL
START,0,0
START,0,0
"START NEXT ""Hi ### - I'm sorry this happened.  You do need a termination of wage withholding order signed by a judge.  Child Support Recovery does provide services to help with child support orders for a $### - ###Once you get the wage withholding order terminated I can help with getting the monies from child support recovery.  You can contact me at ###Hope"" NEXT ""Thank you so much I will be completing the form then will reach out to you afterwards for the back support issue."" NEXT ""That sounds good - have a good rest of the week.Hope""",1,0
"START NEXT ""Online you can search on ### https://www.courts.state.hi.us/legal_references/records/###_disclaimerScroll towards the bottom and click on Proceed to ### Case Searching. You can search by your or her name or the case number.""",0,0
"START NEXT ""Extra details about past shady behavior:The ""repairs"" fixed were tiny holes in the walls and cabinetry. The actual gap under and around the front door wasn't fixed until ### after much nagging. First they told me they had just lost their repairman and had to borrow one from their sister complex next door-who was always busy. Later they told me they would come look at it but they would have to order the materials which would take time. I told them Home Depot was right up the road and it was fixed the next day.We expect routine pest control every ###-###. Mid-March the leasing office ### and we didn't see any pest control for over ###. This was all supposedly due to COVID precautions. Last week I suddenly got a notice for pest control and the landlady arrived with the man who entered while I was there for the spraying. Neither of them had on ### despite her continuing to keep the office closed to us. "" NEXT ""There is nothing in Oklahoma Landlord and Tenant law that makes it illegal to require renter's insurance if the requirement is in the lease. If you have a copy of the lease send it to me and I will take a look at it. The ### rule is from an Oklahoma case found at https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=###'t think it applies to your situation.""",0,0
START,0,0
"START NEXT ""The application for intent to file default is separate from amending your petition - you cannot combine the two.  You can file a motion to amend your petition to include spousal support. You may consider filing a motion for a hearing on temporary matters so to ask for temporary spousal support and the division of personal property (pets are considered personal property).  The judge will set the hearing for the temporary matters and require you and your spouse to attend mediation to try and settle the issue before having the hearing.""",0,0
"START NEXT ""I can't tell from your question exactyly what happened but here's a guess.It is true that once you reach full retirement age (###) your social security benefits are not reduced.  BUT if your total income exceeds a certain threshhold (I believe about 14###) up to 85% of your benefits become subject to income tax.  So although your benefits are technically not reduced they are in effect reduced by becoming taxable.I am guessing that your benefit is being reduced because yuou did not pay sufficient tax for ### due to your earnings and the unpaid tax is being taken frrom your benefit.This may or may not be correct but based on your statement I can't think of a different reason.""",0,0
"START NEXT ""Hi ###. Yes there is a way. You would need to request a ###. You have to gather documents from your physicians and let the insurance company know that this is medically necessary procedure. All your records with letters from your doctors need to be submitted. If a claim is filed and they deny it then you need to appeal the claims. During the appeal you need to submit the letters and records from your physicians. After the appeal if they still deny it you need to request a fair hearing to have your case heard. ### T. ### Esq. Health and Medicine Law Firm###. Suite 300Coral Gables FL ### Ph: ###-###Email: ###www.healthandmedicinelawfirm.com "" NEXT ""Yes thank you I am aware of the grievance and appeal procedures. I was hoping for something that wasn't quite as time consuming and wouldn't take months more of me lying in bed. I do thank you for your time though."" NEXT ""They have an expedited appeal process which can be requested."" NEXT ""I will require the procedure to be done four times a year. Even with being expedited going through the appeals process leaves me an incapacitating pain for quite some time. Is there no way to maybe get these procedures approved in advance? Thank you so much for your time."" NEXT ""Yes request a ### to have this done ###. Request an expedited appeal if they denied the first one. They have to do it within ### ###. Cite to severe pain as the main diagnosis and include all records. Have your doctor write a letter as well.""",0,0
"START NEXT ""Hi ### based on what you described here is a short analysis for your question:Since you indicated you have married for more than two years I would assume that you have filed Form I-### (Form I-### ###-year anniversary of your receipt of U.S. residence). If your petition is approved by the USCIS you will become a permanent resident and may divorce while keeping your status to stay and work in the States. Things might be a little bit tricky if you have not filed Form I-###. The USCIS may automatically terminate your status and issue you a Notice to Appear (NTA) to go to immigration court and prove why you should not be deported. If so I would suggest you to consult a local attorney for help.You may find more information on the USCIS website at https://www.uscis.gov/forms/explore-my-options/remove-conditions-on-my-status-based-on-marriage. Hope this could help! """,0,0
